sepal_length,sepal_width,petal_length,petal_width,species
5.96,2.67,4.36,1.44,Iris-versicolor
5.75,2.64,4.32,1.42,Iris-versicolor
5.31,2.58,3.49,1.16,Iris-versicolor
4.87,2.61,3.52,1.35,Iris-versicolor
6.12,2.65,4.28,1.48,Iris-versicolor
5.64,2.81,4.25,1.41,Iris-versicolor
5.98,1.84,4.25,1.18,Iris-versicolor
6.27,2.69,4.38,1.4,Iris-versicolor
6.14,3.22,4.57,1.55,Iris-versicolor
6.58,3.23,5.24,1.73,Iris-versicolor
6.38,3.32,4.95,1.61,Iris-versicolor
5.45,2.76,3.81,1.4,Iris-versicolor
5.57,2.4,4.15,1.37,Iris-versicolor
5.78,3.15,4.01,1.54,Iris-versicolor
6.18,2.41,4.25,1.52,Iris-versicolor
6.41,2.88,4.3,1.27,Iris-versicolor
6.15,3.03,4.49,1.38,Iris-versicolor
5.82,2.76,3.84,1.17,Iris-versicolor
6.25,2.59,4.54,1.32,Iris-versicolor
6.91,2.98,4.78,1.49,Iris-versicolor
5.99,2.65,4.25,1.29,Iris-versicolor
6.28,2.68,3.96,1.18,Iris-versicolor
6.55,2.62,4.44,1.43,Iris-versicolor
5.53,3.07,4.02,1.34,Iris-versicolor
5.62,2.27,4.03,1.17,Iris-versicolor
5.28,2.05,3.55,1.0,Iris-versicolor
5.68,2.94,4.06,1.4,Iris-versicolor
6.7,3.49,5.0,1.41,Iris-versicolor
5.78,2.98,4.74,1.56,Iris-versicolor
4.72,3.15,3.43,1.24,Iris-versicolor
5.92,2.94,4.68,1.42,Iris-versicolor
6.32,3.16,4.11,1.2,Iris-versicolor
5.55,2.38,4.22,1.35,Iris-versicolor
6.32,3.29,4.45,1.58,Iris-versicolor
6.4,3.16,4.15,1.18,Iris-versicolor
6.42,2.71,4.61,1.16,Iris-versicolor
5.25,2.83,4.2,1.52,Iris-versicolor
6.24,2.65,4.28,1.31,Iris-versicolor
5.9,2.46,4.21,1.21,Iris-versicolor
5.48,2.98,3.28,1.04,Iris-versicolor
6.08,2.84,4.54,1.34,Iris-versicolor
6.49,3.08,5.16,1.77,Iris-versicolor
6.25,2.72,4.44,1.35,Iris-versicolor
7.12,2.92,4.64,1.39,Iris-versicolor
5.58,2.71,3.8,1.25,Iris-versicolor
6.23,2.76,4.29,1.34,Iris-versicolor
5.86,2.41,3.84,1.03,Iris-versicolor
6.45,3.13,4.7,1.41,Iris-versicolor
5.98,2.69,4.59,1.52,Iris-versicolor
5.54,2.25,4.04,1.08,Iris-versicolor
5.9,2.72,4.83,1.47,Iris-versicolor
5.25,2.64,4.21,1.3,Iris-versicolor
5.94,2.6,4.4,1.54,Iris-versicolor
5.64,2.24,3.91,1.1,Iris-versicolor
5.52,2.49,3.72,1.09,Iris-versicolor
5.65,2.59,4.2,1.32,Iris-versicolor
6.05,2.67,3.66,1.15,Iris-versicolor
5.04,2.27,4.17,1.35,Iris-versicolor
6.26,3.05,4.63,1.45,Iris-versicolor
5.31,2.64,3.72,1.01,Iris-versicolor
5.55,2.66,3.68,1.0,Iris-versicolor
5.71,3.24,4.64,1.6,Iris-versicolor
4.84,2.25,3.37,0.85,Iris-versicolor
4.96,2.13,3.48,0.9,Iris-versicolor
5.79,2.66,4.02,1.18,Iris-versicolor
6.06,2.93,4.58,1.41,Iris-versicolor
5.01,2.42,3.85,1.36,Iris-versicolor
5.05,2.02,3.6,0.96,Iris-versicolor
6.21,2.84,4.45,1.44,Iris-versicolor
6.16,2.59,4.44,1.33,Iris-versicolor
6.43,3.17,5.16,1.81,Iris-versicolor
4.45,1.88,3.28,0.85,Iris-versicolor
5.43,2.77,3.8,1.25,Iris-versicolor
6.22,2.57,4.12,1.31,Iris-versicolor
5.78,2.67,3.43,1.06,Iris-versicolor
6.9,3.33,5.32,1.75,Iris-versicolor
5.1,3.28,4.16,1.57,Iris-versicolor
4.78,2.2,3.38,1.04,Iris-versicolor
5.88,2.19,3.45,0.76,Iris-versicolor
5.15,2.42,3.87,1.19,Iris-versicolor
5.74,2.41,4.34,1.24,Iris-versicolor
5.75,2.77,3.98,1.38,Iris-versicolor
5.8,2.72,4.11,1.31,Iris-versicolor
5.17,2.64,3.51,1.24,Iris-versicolor
5.34,2.73,4.01,1.3,Iris-versicolor
6.43,2.28,4.27,1.41,Iris-versicolor
5.83,2.24,3.88,1.22,Iris-versicolor
6.17,2.73,4.72,1.35,Iris-versicolor
6.56,3.29,5.12,1.62,Iris-versicolor
5.74,2.62,3.86,1.14,Iris-versicolor
6.39,2.97,4.34,1.21,Iris-versicolor
4.82,2.52,3.9,1.12,Iris-versicolor
7.19,3.05,4.77,1.36,Iris-versicolor
7.09,3.16,5.01,1.59,Iris-versicolor
6.52,2.82,4.54,1.32,Iris-versicolor
5.82,2.4,4.04,1.3,Iris-versicolor
5.41,2.56,3.53,0.95,Iris-versicolor
5.77,2.6,4.14,1.33,Iris-versicolor
6.15,2.79,4.3,1.3,Iris-versicolor
6.89,3.51,4.9,1.68,Iris-versicolor
5.88,2.49,3.69,0.94,Iris-versicolor
5.61,3.18,4.13,1.45,Iris-versicolor
6.53,2.82,4.53,1.27,Iris-versicolor
6.09,2.81,3.86,1.22,Iris-versicolor
6.03,2.59,3.94,1.34,Iris-versicolor
5.59,2.15,3.86,0.97,Iris-versicolor
6.16,2.96,4.49,1.39,Iris-versicolor
5.12,2.58,3.69,1.24,Iris-versicolor
6.54,2.98,4.87,1.49,Iris-versicolor
6.79,3.36,4.74,1.6,Iris-versicolor
5.17,2.68,3.86,1.38,Iris-versicolor
6.68,2.84,4.66,1.44,Iris-versicolor
5.58,2.31,3.9,1.07,Iris-versicolor
5.82,2.29,4.18,1.27,Iris-versicolor
5.39,1.94,4.01,1.23,Iris-versicolor
6.1,3.18,4.42,1.22,Iris-versicolor
6.01,3.04,4.69,1.46,Iris-versicolor
5.45,2.75,3.8,1.01,Iris-versicolor
5.58,2.45,3.91,1.1,Iris-versicolor
6.11,3.06,4.77,1.58,Iris-versicolor
5.35,2.43,3.73,1.28,Iris-versicolor
5.58,2.26,4.38,1.31,Iris-versicolor
5.61,2.89,4.66,1.61,Iris-versicolor
5.0,2.35,3.5,0.91,Iris-versicolor
7.28,3.27,5.64,1.8,Iris-versicolor
6.91,2.85,5.55,1.67,Iris-versicolor
6.19,2.57,4.48,1.37,Iris-versicolor
5.27,2.49,4.16,1.27,Iris-versicolor
5.77,2.8,4.49,1.37,Iris-versicolor
5.83,2.99,4.66,1.41,Iris-versicolor
5.27,2.42,3.88,1.09,Iris-versicolor
6.07,2.62,4.48,1.48,Iris-versicolor
6.86,3.26,4.6,1.5,Iris-versicolor
5.85,2.68,4.08,1.2,Iris-versicolor
5.84,2.84,3.95,1.26,Iris-versicolor
5.5,2.28,4.22,1.2,Iris-versicolor
5.68,2.39,3.89,1.26,Iris-versicolor
6.13,3.19,4.34,1.66,Iris-versicolor
4.87,2.45,3.21,1.0,Iris-versicolor
5.59,2.59,3.86,1.13,Iris-versicolor
6.04,2.48,4.13,1.12,Iris-versicolor
6.16,2.85,4.41,1.33,Iris-versicolor
6.21,2.73,4.42,1.36,Iris-versicolor
6.61,2.82,5.01,1.48,Iris-versicolor
5.87,2.91,3.95,1.33,Iris-versicolor
5.93,2.89,4.21,1.42,Iris-versicolor
6.39,2.82,3.85,1.0,Iris-versicolor
6.1,2.57,4.23,1.36,Iris-versicolor
5.84,3.02,4.23,1.31,Iris-versicolor
6.81,3.31,5.09,1.62,Iris-versicolor
6.16,2.53,4.04,1.3,Iris-versicolor
4.85,1.82,3.41,0.72,Iris-versicolor
6.22,2.58,4.35,1.36,Iris-versicolor
6.11,2.81,4.73,1.42,Iris-versicolor
5.15,2.42,4.02,1.17,Iris-versicolor
5.1,2.84,3.36,1.13,Iris-versicolor
5.58,2.71,4.51,1.45,Iris-versicolor
6.3,2.86,4.29,1.17,Iris-versicolor
5.16,2.43,4.05,1.15,Iris-versicolor
5.77,2.72,3.71,0.97,Iris-versicolor
6.24,3.05,4.3,1.5,Iris-versicolor
5.51,2.53,3.86,1.3,Iris-versicolor
6.84,2.97,5.15,1.55,Iris-versicolor
6.28,2.77,5.06,1.63,Iris-versicolor
6.23,2.69,4.55,1.33,Iris-versicolor
5.45,2.51,4.11,1.23,Iris-versicolor
6.72,3.13,5.0,1.56,Iris-versicolor
4.62,2.45,3.52,1.14,Iris-versicolor
5.62,2.51,4.42,1.34,Iris-versicolor
7.03,2.51,4.94,1.36,Iris-versicolor
5.35,2.6,3.59,0.98,Iris-versicolor
6.2,3.32,4.8,1.68,Iris-versicolor
6.2,3.2,4.04,1.47,Iris-versicolor
6.1,3.53,4.97,1.54,Iris-versicolor
5.13,1.98,3.4,0.93,Iris-versicolor
6.0,2.98,4.13,1.23,Iris-versicolor
6.01,2.59,4.49,1.39,Iris-versicolor
5.4,2.81,4.13,1.37,Iris-versicolor
7.0,2.88,4.98,1.47,Iris-versicolor
5.97,2.3,4.24,1.14,Iris-versicolor
6.24,3.15,4.5,1.4,Iris-versicolor
6.07,2.62,4.46,1.35,Iris-versicolor
6.08,2.53,4.29,1.32,Iris-versicolor
5.8,3.01,4.34,1.43,Iris-versicolor
5.81,2.67,4.59,1.43,Iris-versicolor
6.05,2.98,4.38,1.49,Iris-versicolor
5.93,2.33,4.14,1.29,Iris-versicolor
6.34,2.75,4.84,1.45,Iris-versicolor
6.3,2.98,4.31,1.39,Iris-versicolor
6.44,2.79,4.21,1.41,Iris-versicolor
5.31,2.32,3.98,1.26,Iris-versicolor
5.96,2.88,4.51,1.5,Iris-versicolor
6.01,2.95,4.59,1.49,Iris-versicolor
6.24,2.84,4.62,1.43,Iris-versicolor
5.7,2.9,4.79,1.53,Iris-versicolor
6.07,2.37,4.29,1.18,Iris-versicolor
6.27,2.95,4.65,1.56,Iris-versicolor
5.66,3.02,4.44,1.41,Iris-versicolor
6.81,3.22,4.69,1.46,Iris-versicolor
6.84,3.18,5.08,1.67,Iris-versicolor
6.13,2.7,4.5,1.45,Iris-versicolor
5.1,2.44,3.94,1.09,Iris-versicolor
5.46,2.84,4.2,1.52,Iris-versicolor
6.78,3.14,4.96,1.68,Iris-versicolor
6.61,3.03,4.87,1.49,Iris-versicolor
5.98,3.11,4.93,1.61,Iris-versicolor
5.8,2.71,4.65,1.48,Iris-versicolor
5.43,2.64,3.7,1.01,Iris-versicolor
5.29,2.45,3.84,1.17,Iris-versicolor
5.86,2.3,3.96,0.94,Iris-versicolor
5.94,2.7,3.9,1.27,Iris-versicolor
6.21,3.2,4.44,1.67,Iris-versicolor
5.56,3.25,4.31,1.58,Iris-versicolor
6.82,3.0,5.45,1.75,Iris-versicolor
5.32,2.29,4.01,1.1,Iris-versicolor
6.57,2.98,4.09,1.25,Iris-versicolor
5.67,2.71,4.21,1.33,Iris-versicolor
6.48,2.96,4.87,1.46,Iris-versicolor
6.06,2.77,3.95,1.17,Iris-versicolor
5.82,2.77,4.24,1.26,Iris-versicolor
6.2,3.12,3.78,1.04,Iris-versicolor
5.55,2.73,4.22,1.22,Iris-versicolor
5.92,2.92,4.4,1.45,Iris-versicolor
6.53,2.85,5.08,1.65,Iris-versicolor
7.01,2.75,4.6,1.54,Iris-versicolor
6.29,2.63,4.59,1.26,Iris-versicolor
6.7,2.92,4.48,1.61,Iris-versicolor
5.68,2.64,3.76,0.95,Iris-versicolor
6.52,2.81,4.31,1.39,Iris-versicolor
6.39,2.72,4.25,1.26,Iris-versicolor
5.58,3.22,3.95,1.45,Iris-versicolor
5.42,2.67,3.82,1.25,Iris-versicolor
6.32,2.93,4.19,1.44,Iris-versicolor
6.74,2.91,4.46,1.25,Iris-versicolor
6.24,2.77,4.44,1.42,Iris-versicolor
6.39,2.77,4.58,1.3,Iris-versicolor
6.6,2.57,4.68,1.35,Iris-versicolor
5.52,2.61,3.82,1.07,Iris-versicolor
6.08,2.79,4.39,1.35,Iris-versicolor
6.01,2.86,4.45,1.38,Iris-versicolor
5.91,2.77,4.52,1.65,Iris-versicolor
6.04,2.93,4.13,1.47,Iris-versicolor
5.19,2.58,3.78,1.29,Iris-versicolor
5.7,2.69,3.9,1.17,Iris-versicolor
6.5,3.25,4.68,1.43,Iris-versicolor
6.93,3.46,4.9,1.57,Iris-versicolor
5.57,2.74,4.0,1.18,Iris-versicolor
5.54,3.15,4.01,1.5,Iris-versicolor
5.42,2.61,4.06,1.24,Iris-versicolor
6.65,2.96,4.99,1.64,Iris-versicolor
5.96,2.69,4.18,1.2,Iris-versicolor
5.86,2.42,3.77,1.26,Iris-versicolor
5.33,3.01,4.31,1.49,Iris-versicolor
5.98,2.73,4.58,1.44,Iris-versicolor
5.92,3.18,4.46,1.39,Iris-versicolor
6.04,2.46,4.17,1.23,Iris-versicolor
5.55,2.59,3.96,1.0,Iris-versicolor
6.12,2.79,4.46,1.37,Iris-versicolor
6.93,3.3,4.65,1.4,Iris-versicolor
5.54,2.87,4.59,1.45,Iris-versicolor
4.58,2.68,3.39,1.13,Iris-versicolor
6.46,2.87,4.36,1.54,Iris-versicolor
5.37,2.84,3.56,1.17,Iris-versicolor
5.52,2.61,3.49,0.82,Iris-versicolor
5.92,3.03,4.35,1.4,Iris-versicolor
5.77,3.4,4.22,1.54,Iris-versicolor
5.81,2.89,4.28,1.4,Iris-versicolor
5.31,3.02,3.79,1.15,Iris-versicolor
5.66,2.56,3.89,1.31,Iris-versicolor
4.83,2.28,3.19,0.85,Iris-versicolor
5.93,1.97,4.66,1.27,Iris-versicolor
5.37,2.43,3.7,1.01,Iris-versicolor
6.15,2.43,4.64,1.25,Iris-versicolor
5.98,2.73,3.91,1.11,Iris-versicolor
5.65,2.7,3.83,1.02,Iris-versicolor
6.1,2.72,4.21,1.36,Iris-versicolor
5.56,2.77,4.09,1.35,Iris-versicolor
5.0,2.52,3.4,1.1,Iris-versicolor
6.0,2.22,4.39,1.28,Iris-versicolor
6.03,3.11,4.25,1.48,Iris-versicolor
5.53,2.36,3.67,1.12,Iris-versicolor
5.75,2.2,4.27,1.27,Iris-versicolor
6.23,3.15,3.68,1.28,Iris-versicolor
6.08,3.01,4.51,1.35,Iris-versicolor
6.81,2.99,4.33,1.31,Iris-versicolor
5.68,2.32,4.61,1.62,Iris-versicolor
6.73,3.06,5.4,1.58,Iris-versicolor
5.9,2.48,4.57,1.43,Iris-versicolor
5.82,2.77,4.24,1.28,Iris-versicolor
5.87,2.81,4.19,1.27,Iris-versicolor
6.34,2.95,4.66,1.4,Iris-versicolor
6.32,3.33,4.53,1.53,Iris-versicolor
5.96,2.93,4.7,1.47,Iris-versicolor
6.25,2.74,4.0,1.33,Iris-versicolor
5.83,2.2,3.97,1.2,Iris-versicolor
5.02,2.74,3.6,1.29,Iris-versicolor
5.2,2.74,3.93,1.29,Iris-versicolor
6.04,2.9,4.62,1.55,Iris-versicolor
6.0,2.38,4.25,1.18,Iris-versicolor
5.86,2.68,3.98,1.24,Iris-versicolor
6.02,2.93,4.07,1.3,Iris-versicolor
5.97,2.96,4.11,1.2,Iris-versicolor
5.59,2.72,4.1,1.15,Iris-versicolor
5.59,2.56,3.85,1.25,Iris-versicolor
6.18,3.01,4.86,1.68,Iris-versicolor
5.73,2.54,4.06,1.12,Iris-versicolor
5.94,2.89,4.17,1.26,Iris-versicolor
5.72,2.66,4.07,1.26,Iris-versicolor
6.72,3.18,4.58,1.32,Iris-versicolor
5.88,2.56,4.22,1.24,Iris-versicolor
6.06,2.54,4.52,1.38,Iris-versicolor
5.31,2.14,3.14,0.95,Iris-versicolor
6.32,2.96,4.6,1.66,Iris-versicolor
5.32,2.25,3.49,0.96,Iris-versicolor
6.82,2.7,4.42,1.22,Iris-versicolor
6.7,2.68,5.08,1.56,Iris-versicolor
5.61,2.57,4.13,1.25,Iris-versicolor
5.28,3.04,3.69,1.32,Iris-versicolor
6.23,2.85,4.55,1.45,Iris-versicolor
5.63,2.45,4.57,1.49,Iris-versicolor
6.29,3.29,4.49,1.45,Iris-versicolor
5.51,2.44,4.16,1.22,Iris-versicolor
5.71,2.69,3.86,1.16,Iris-versicolor
5.74,2.67,4.31,1.2,Iris-versicolor
5.4,2.56,3.87,1.2,Iris-versicolor
5.93,2.96,4.16,1.23,Iris-versicolor
5.03,2.67,3.74,1.14,Iris-versicolor
6.09,3.19,4.44,1.42,Iris-versicolor
6.01,2.63,4.57,1.35,Iris-versicolor
6.26,2.38,4.69,1.23,Iris-versicolor
5.7,2.45,4.02,1.16,Iris-versicolor
6.04,2.9,3.92,1.16,Iris-versicolor
5.82,3.5,3.81,1.34,Iris-versicolor
5.34,2.72,4.04,1.52,Iris-versicolor
6.85,3.47,4.98,1.66,Iris-versicolor
5.66,2.43,3.74,1.11,Iris-versicolor
5.63,3.02,4.28,1.45,Iris-versicolor
5.59,2.91,4.34,1.18,Iris-versicolor
6.35,2.8,4.45,1.37,Iris-versicolor
5.72,2.71,3.82,1.14,Iris-versicolor
5.15,2.23,4.16,1.24,Iris-versicolor
6.13,3.02,4.03,1.2,Iris-versicolor
6.23,3.06,4.56,1.73,Iris-versicolor
4.53,1.97,3.67,0.92,Iris-versicolor
6.37,2.94,4.42,1.37,Iris-versicolor
6.06,2.81,4.3,1.42,Iris-versicolor
5.79,2.65,4.0,1.52,Iris-versicolor
5.5,2.72,4.04,1.38,Iris-versicolor
5.64,2.76,4.26,1.29,Iris-versicolor
6.05,2.68,4.2,1.36,Iris-versicolor
5.64,2.57,3.88,1.24,Iris-versicolor
6.04,3.05,4.23,1.28,Iris-versicolor
5.79,2.8,4.54,1.48,Iris-versicolor
5.82,3.06,4.51,1.61,Iris-versicolor
5.98,1.98,4.12,1.09,Iris-versicolor
6.12,2.99,4.27,1.41,Iris-versicolor
5.33,3.15,3.96,1.43,Iris-versicolor
5.61,2.95,4.13,1.36,Iris-versicolor
5.17,2.81,4.2,1.49,Iris-versicolor
6.19,2.77,4.33,1.32,Iris-versicolor
5.95,2.69,3.86,1.13,Iris-versicolor
5.62,2.31,4.18,1.16,Iris-versicolor
6.79,2.57,4.49,1.2,Iris-versicolor
6.04,2.4,4.62,1.27,Iris-versicolor
5.74,2.7,4.33,1.36,Iris-versicolor
5.75,2.44,3.63,1.13,Iris-versicolor
6.26,2.51,4.12,1.27,Iris-versicolor
5.85,2.42,4.19,1.19,Iris-versicolor
6.37,2.89,4.45,1.29,Iris-versicolor
6.24,2.95,4.8,1.63,Iris-versicolor
5.8,2.88,4.06,1.6,Iris-versicolor
5.76,2.64,4.08,1.09,Iris-versicolor
6.13,2.57,3.91,1.08,Iris-versicolor
5.36,2.88,4.24,1.49,Iris-versicolor
5.95,2.75,3.75,1.18,Iris-versicolor
6.5,3.16,4.28,1.39,Iris-versicolor
5.63,3.24,4.17,1.44,Iris-versicolor
6.05,3.07,4.6,1.47,Iris-versicolor
6.32,2.38,4.31,1.25,Iris-versicolor
6.41,3.1,4.77,1.43,Iris-versicolor
6.59,2.9,4.64,1.35,Iris-versicolor
6.46,2.58,4.4,1.39,Iris-versicolor
5.32,2.68,3.74,1.13,Iris-versicolor
5.9,2.6,4.23,1.33,Iris-versicolor
5.78,2.97,4.38,1.68,Iris-versicolor
5.44,2.78,4.04,1.25,Iris-versicolor
6.52,2.83,5.11,1.81,Iris-versicolor
5.26,2.51,4.35,1.18,Iris-versicolor
6.08,2.94,4.59,1.57,Iris-versicolor
5.42,2.55,4.16,1.29,Iris-versicolor
5.25,2.54,4.16,1.29,Iris-versicolor
5.17,2.1,3.35,1.07,Iris-versicolor
5.93,2.79,4.46,1.68,Iris-versicolor
6.43,2.49,4.89,1.67,Iris-versicolor
6.2,2.47,4.91,1.64,Iris-versicolor
6.27,2.68,4.47,1.43,Iris-versicolor
5.6,2.85,3.66,1.08,Iris-versicolor
6.59,3.07,4.51,1.29,Iris-versicolor
5.3,2.57,3.47,1.13,Iris-versicolor
5.75,3.05,4.15,1.56,Iris-versicolor
5.92,2.58,4.25,1.35,Iris-versicolor
5.53,2.32,3.58,1.17,Iris-versicolor
6.21,2.81,3.93,1.14,Iris-versicolor
5.61,2.28,4.2,1.37,Iris-versicolor
5.59,2.92,4.02,1.26,Iris-versicolor
6.53,3.07,4.35,1.39,Iris-versicolor
5.47,3.02,4.19,1.38,Iris-versicolor
5.0,2.82,3.48,1.12,Iris-versicolor
5.83,2.66,3.55,0.99,Iris-versicolor
5.95,2.73,4.37,1.42,Iris-versicolor
6.28,2.79,4.06,1.18,Iris-versicolor
4.74,2.71,3.5,1.23,Iris-versicolor
6.38,2.88,4.18,1.31,Iris-versicolor
6.64,2.97,4.53,1.36,Iris-versicolor
5.89,3.01,4.33,1.4,Iris-versicolor
4.52,2.26,2.68,0.71,Iris-versicolor
5.54,2.42,3.93,1.39,Iris-versicolor
6.11,2.62,4.31,1.35,Iris-versicolor
5.27,2.84,3.69,1.36,Iris-versicolor
6.14,2.68,4.14,1.23,Iris-versicolor
5.92,2.85,4.1,1.38,Iris-versicolor
6.36,2.71,4.49,1.35,Iris-versicolor
5.29,2.5,3.88,1.21,Iris-versicolor
6.54,2.52,5.47,1.59,Iris-virginica
6.26,3.13,5.31,2.53,Iris-virginica
6.92,3.09,5.42,2.1,Iris-virginica
6.66,3.79,5.5,2.07,Iris-virginica
5.76,3.22,5.41,2.47,Iris-virginica
7.46,3.13,6.28,2.29,Iris-virginica
6.82,3.03,5.53,1.77,Iris-virginica
6.36,3.29,5.26,2.39,Iris-virginica
5.38,2.6,4.16,1.75,Iris-virginica
6.33,2.89,4.82,1.76,Iris-virginica
6.1,2.43,4.95,2.15,Iris-virginica
6.53,3.25,5.58,2.39,Iris-virginica
6.47,3.37,5.49,1.86,Iris-virginica
5.47,2.62,5.04,1.81,Iris-virginica
6.46,3.3,5.67,2.11,Iris-virginica
7.34,3.31,6.45,1.96,Iris-virginica
7.33,2.96,6.06,1.96,Iris-virginica
6.65,3.39,5.98,1.84,Iris-virginica
6.31,3.01,5.52,2.07,Iris-virginica
6.69,3.28,5.81,2.54,Iris-virginica
6.81,3.06,6.05,2.22,Iris-virginica
7.25,2.86,6.19,1.84,Iris-virginica
6.8,2.85,5.79,1.83,Iris-virginica
6.07,3.0,4.91,1.91,Iris-virginica
5.8,2.76,4.98,1.47,Iris-virginica
7.53,3.52,5.87,2.53,Iris-virginica
6.53,3.14,5.76,2.42,Iris-virginica
7.57,3.07,6.65,2.0,Iris-virginica
6.83,2.91,5.9,2.01,Iris-virginica
6.73,2.51,5.49,1.94,Iris-virginica
6.44,3.24,6.23,2.31,Iris-virginica
6.57,2.63,5.49,1.77,Iris-virginica
6.82,2.98,6.0,2.11,Iris-virginica
6.37,2.67,5.29,1.65,Iris-virginica
6.45,2.59,5.22,1.81,Iris-virginica
7.26,3.23,6.22,2.15,Iris-virginica
6.44,3.39,5.7,2.26,Iris-virginica
7.71,3.8,6.64,1.97,Iris-virginica
5.92,2.71,5.12,1.65,Iris-virginica
6.83,2.65,5.85,2.46,Iris-virginica
6.92,3.11,5.53,1.88,Iris-virginica
6.46,3.54,5.46,2.44,Iris-virginica
5.84,2.55,4.99,1.72,Iris-virginica
6.96,2.35,6.09,1.61,Iris-virginica
6.51,2.93,5.99,2.11,Iris-virginica
6.7,2.41,5.73,1.99,Iris-virginica
6.51,2.98,5.27,1.82,Iris-virginica
5.83,2.67,5.01,2.03,Iris-virginica
5.0,2.76,4.42,1.96,Iris-virginica
6.09,2.68,5.05,2.54,Iris-virginica
5.18,2.47,4.8,1.69,Iris-virginica
6.34,3.13,4.73,1.72,Iris-virginica
6.44,2.46,5.67,1.64,Iris-virginica
5.77,2.58,4.83,1.92,Iris-virginica
6.86,2.83,5.91,2.14,Iris-virginica
6.42,2.68,5.54,1.86,Iris-virginica
6.4,3.25,5.25,2.13,Iris-virginica
5.94,2.93,5.54,1.63,Iris-virginica
5.95,2.1,5.26,1.82,Iris-virginica
5.51,2.61,4.89,1.87,Iris-virginica
6.89,3.0,5.72,1.52,Iris-virginica
6.12,2.73,5.15,1.98,Iris-virginica
6.2,2.61,5.12,1.92,Iris-virginica
6.01,2.28,4.89,2.01,Iris-virginica
5.88,3.09,4.83,2.0,Iris-virginica
6.09,2.74,5.53,1.95,Iris-virginica
6.92,3.15,5.84,1.5,Iris-virginica
5.79,2.55,4.64,1.63,Iris-virginica
8.21,3.51,7.24,2.51,Iris-virginica
5.02,2.1,4.65,1.69,Iris-virginica
6.44,3.23,5.45,2.14,Iris-virginica
6.31,3.09,5.2,2.17,Iris-virginica
6.19,3.06,5.24,2.09,Iris-virginica
6.4,3.07,5.46,2.22,Iris-virginica
6.4,2.71,5.09,2.28,Iris-virginica
5.15,3.08,4.99,1.93,Iris-virginica
6.15,3.29,5.01,2.13,Iris-virginica
7.68,2.78,6.34,1.94,Iris-virginica
6.97,2.74,5.54,2.03,Iris-virginica
7.24,2.49,5.76,1.55,Iris-virginica
6.67,2.44,5.3,1.59,Iris-virginica
6.03,2.63,5.77,1.7,Iris-virginica
5.97,2.69,5.08,1.75,Iris-virginica
5.32,2.48,4.65,2.13,Iris-virginica
7.6,3.08,6.61,2.14,Iris-virginica
7.02,3.02,5.62,1.74,Iris-virginica
6.49,3.06,5.27,1.79,Iris-virginica
7.49,3.37,6.51,2.37,Iris-virginica
6.16,2.84,4.43,2.08,Iris-virginica
6.87,2.79,5.77,2.09,Iris-virginica
7.53,3.42,6.32,2.34,Iris-virginica
7.25,2.96,5.76,2.38,Iris-virginica
7.01,2.43,6.05,2.05,Iris-virginica
7.04,3.0,5.77,1.93,Iris-virginica
6.68,2.57,5.6,1.59,Iris-virginica
6.32,2.98,5.41,2.01,Iris-virginica
5.78,2.3,4.7,1.52,Iris-virginica
6.01,3.24,5.77,2.18,Iris-virginica
6.73,3.27,5.55,2.02,Iris-virginica
6.64,3.3,5.79,2.37,Iris-virginica
7.09,2.97,6.07,2.38,Iris-virginica
7.18,3.16,6.12,2.18,Iris-virginica
7.9,3.7,6.61,2.28,Iris-virginica
6.75,3.2,5.6,1.97,Iris-virginica
6.58,3.36,5.92,2.12,Iris-virginica
7.35,2.84,5.9,2.28,Iris-virginica
5.68,2.61,4.8,2.21,Iris-virginica
6.62,2.62,5.81,1.98,Iris-virginica
6.79,2.77,5.41,1.65,Iris-virginica
6.01,3.02,5.37,2.1,Iris-virginica
6.38,2.66,5.39,2.13,Iris-virginica
6.59,2.73,5.68,1.94,Iris-virginica
6.09,2.78,5.58,2.25,Iris-virginica
6.05,3.06,5.08,1.74,Iris-virginica
6.53,3.02,5.75,1.88,Iris-virginica
7.09,2.93,5.73,2.23,Iris-virginica
5.32,2.4,4.33,1.66,Iris-virginica
6.54,2.89,5.2,2.03,Iris-virginica
5.74,2.36,5.19,1.29,Iris-virginica
6.51,3.13,5.88,2.01,Iris-virginica
7.58,3.38,6.79,2.57,Iris-virginica
6.72,3.06,5.43,1.94,Iris-virginica
5.52,2.16,4.78,1.81,Iris-virginica
7.98,2.76,6.37,2.17,Iris-virginica
5.85,2.68,5.5,1.88,Iris-virginica
7.65,3.59,6.17,2.12,Iris-virginica
6.93,2.56,6.07,1.75,Iris-virginica
7.48,3.23,5.92,1.97,Iris-virginica
7.74,3.02,6.35,1.4,Iris-virginica
7.18,2.74,6.25,2.15,Iris-virginica
6.63,2.84,5.62,1.79,Iris-virginica
6.13,2.92,5.35,2.01,Iris-virginica
5.8,3.32,5.21,2.21,Iris-virginica
6.73,2.84,5.94,2.43,Iris-virginica
7.06,2.58,6.31,1.75,Iris-virginica
6.39,2.69,5.62,1.97,Iris-virginica
6.88,2.48,5.87,2.18,Iris-virginica
6.6,2.75,5.89,1.75,Iris-virginica
7.2,2.81,6.15,2.04,Iris-virginica
6.42,2.96,5.5,1.85,Iris-virginica
6.98,3.19,5.7,2.08,Iris-virginica
